User,Skill1,Skill2,Skill3
marammohammad,python,sql,programming
mariam-awad-a7b64598,python,spring boot,spring mvc
mariam-el-seddiek,java,javascript,python
mariam-fahmy-2aa2b8176,c++,linux,bash
mariam-gad,amazon web services (aws),docker,kubernetes
mariam-samir-b200b4176,c++,python,localization
mariammuhammed,object-oriented programming (oop),c (programming language),c++
mariamyehya,project management,it management,online marketing
mariem-muhammed-1009801b1,search engine optimization (seo),google analytics,nuxt.js
marina-eldib,query writing,python,natural language processing (nlp)
marina-magdy,bootstrap,web design,javascript
marina-wafik-7294731b4,machine learning,data science,docker
mario-sherif-84128a138,problem solving,software development,self learning
mark-wagdy-4b9350181,cloud computing,information technology planning,computing
marwa-a-alnashar,asp.net,c#,angular
marwa-abdelbasit-891201148,vue,javascript,web design
marwa-abdullah,c++,communication protocols,object-oriented programming (oop)
marwa-khaled-9837ab61,node,react,react
marwa-magdy-66b910166,ability to work under pressure.,time management,technical skills
marwan-m-sallam,web development,mobile applications,node
marwan-mohsen-b25610170,python,java,object-oriented programming (oop)
marwankamelmansour,leadership,algorithms,machine learning
marwansaadsalem,microsoft azure,kubernetes,google kubernetes engine (gke)
maryam-ahmed-065b9823,javase,servlets,jsp
maryam-elderiny-6812bb1b6,object-oriented programming (oop),design patterns,c#
maryam-mohamed-707742219,agile methodologies,adobe photoshop,javascript
maryammehab,web development,web design,object-oriented programming (oop)
maryamshalaby,programming,c++,c#
matef99,amazon web services (aws),nestjs,node
mayar-nour-3230b0153,software testing,object-oriented programming (oop),python
mayy-ahmed,training,microsoft excel,social media
melhelbawy,front-end,javascript,jquery
meltabbakh,java,c,problem solving
menna-allah-ahmed-391bb31a3,c++,c (programming language),python
menna-el-gedawy,helm charts,kubernetes,amazon web services (aws)
menna-fadali998,java,javascript,mern stack
menna-farid-24b533b6,angular,html,javascript
menna-muhammad,mvc,sql,angular
mennabadr,java,android development,project management
mennamos,front-end,react,software development
merna-fayez,databases,html,computer science
merna-zakaria-03017a187,typescript,vue,"redux.js, saga"
mervat-mosaad-596864a9,html,sql,software development
mfouad,ogre3d,c++,.net
mgelgazar,asp.net web api,asp.net razor,sitecore
mheshamc137,c++,javascript,node
michael-magdy-910260183,microservices,graphql,typescript
michael-makram-30673640,javascript,java,*
michael-said-01b340174,microsoft office,leadership,project management
micheal-abid-fekry-52a500184,front-end,react,javascript
mina-maher-3523688b,linux server,database management system (dbms),hosted microsoft exchange
mina-maher-boutros,json,quality assurance,selenium
mina-maher666,mobile applications,android development,software development
mina-malak-loutfi-2a397213b,autosar,problem solving,embedded systems
mina-n-w-s,lego mindstorms,lego robotics,arduino
